,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,YV02_test,1,1.27937293053,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.775870534676,0.579184715841,YV02,127,4,3.64666666667,5,3.38170512424,3
7,ACLU04_test,1,1.80815982819,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.66512903816,0.442937413482,ACLU04,142,3,2.23333333333,3,2.88587122969,3
9,225.html_test,1,3.75144696236,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.691006676891,0.700691663263,225.html,30,3,3.70666666667,3,3.86525507007,5
17,"2011-12-11 Hope Not Hype, Rev. Mark Belletini.pdf_test",1,4.31568193436,"hope, hype, magic, pain, happen, too, dont, perfect, love, suffer",0.0356933879462,0.0333528379169,1.0,0.0,0.258928571429,142.0,0.633928571429,0.0263311878291,0.00643651258046,0.0295494441194,0.00848449385606,0.00263311878291,0.00672908133411,0.0119953188999,0.655970199253,0.631939537011,"2011-12-11 Hope Not Hype, Rev. Mark Belletini.pdf",108,4,3.14,3,2.45463206076,3
21,YV03_test,1,1.55832505226,"yantra, triangl, manifest, crystal, dot, express, bindhu, mantra, kalaa, shanthi",0.0114942528736,0.00287356321839,1.0,0.0,0.3,23.0,0.46,0.00431034482759,0.0100574712644,0.0014367816092,0.00862068965517,0.0014367816092,0.0014367816092,0.0244252873563,0.757848177614,0.706460240765,YV03,128,3,3.91,3,4.04396315025,3
23,MalcolmX-LettersFromAbroad_test,1,2.64377498627,"nigeria, mecca, racism, malcolm, brotherhood, abroad, color, muslim, ghana, sincer",0.0205669816565,0.0166759310728,1.0,0.0,0.458333333333,51.0,0.708333333333,0.0105614230128,0.000555864369094,0.0322401334074,0.0111172873819,0.00667037242913,0.00111172873819,0.0100055586437,0.746474017832,0.611114085611,MalcolmX-LettersFromAbroad,81,3,3.83666666667,5,3.33754913573,3
31,"2007-11-11 Spiritual Claustrophobia, Rev. Mark Belletini.PDF_test",1,5.40411114693,"experi, dont, let, theolog, els, hallway, tell, wrong, realli, too",0.0243632336656,0.0190476190476,1.0,0.0,0.203045685279,233.0,0.591370558376,0.0148394241417,0.0104097452935,0.0423034330011,0.00863787375415,0.00398671096346,0.00996677740864,0.0126245847176,0.679303997393,0.514337817248,"2007-11-11 Spiritual Claustrophobia, Rev. Mark Belletini.PDF",107,7,3.59666666667,3,3.8367585459,5
32,YV01_test,1,1.29374599457,"sannyasin, yoga, sannya, renounc, sri, satchidananda, monk, dress, “the, ceremoni",0.00547945205479,0.00821917808219,0.0,1.0,0.409090909091,13.0,0.590909090909,0.0027397260274,0.0,0.0,0.0328767123288,0.0109589041096,0.00547945205479,0.0027397260274,0.742599663185,0.502723161424,YV01,126,3,3.45666666667,3,3.01588609675,3
33,YV06_test,1,2.57197999954,"sri, gurudev, swami, satchidananda, spirit, spiritu, messag, uniti, sadhu, doesn't",0.027289266222,0.00727713765919,1.0,0.0,0.352941176471,78.0,0.764705882353,0.0109157064888,0.0133414190418,0.0,0.00667070952092,0.0333535476046,0.00485142510612,0.0127349909036,0.666276317432,0.689833712226,YV06,131,5,4.26,3,5.16662152028,5
34,MalcolmX-ConfrontationWithAnExpert_test,1,6.3997797966,"malcolm, bernard, hall, alcolm, let, negro, think, say, get, expert",0.0184566707681,0.0123044471788,1.0,0.0,0.495356037152,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.628589554568,0.656116850638,MalcolmX-ConfrontationWithAnExpert,91,2,3.97,2,4.17539099435,5
44,piper99 12-12-99_test,1,3.18930888176,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.0267489711934,0.022633744856,1.0,0.0,0.496551724138,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.645682436198,0.646481448274,piper99 12-12-99,59,4,3.83333333333,5,4.44329552741,5
52,ACLU05_test,1,1.77915501595,"mohamedou, prison, guantánamo, tortur, unlaw, mauritania, memoir, privaci, thrill, slahi",0.0309523809524,0.0297619047619,1.0,0.0,0.547619047619,34.0,0.809523809524,0.0261904761905,0.0,0.00595238095238,0.00119047619048,0.047619047619,0.00119047619048,0.00595238095238,0.693079742008,0.554392760686,ACLU05,143,3,4.02333333333,5,4.63001234796,5
56,SS09_test,1,1.26198792458,"shepherd, pamela, anderson, seal, slaughter, babi, orca, whale, newfoundland, salmon",0.0155763239875,0.0155763239875,0.0,1.0,0.818181818182,10.0,0.909090909091,0.018691588785,0.0,0.00934579439252,0.0,0.0,0.0249221183801,0.00311526479751,0.802554638305,0.609438581614,SS09,120,2,2.72,2,3.70017674928,3
59,piper89 4-7-89_test,1,2.83011603355,"womb, job, unborn, abort, god, innoc, shall, psalm, yuml, blood",0.0223234624146,0.0464692482916,0.0,1.0,0.353846153846,68.0,0.523076923077,0.00911161731207,0.00455580865604,0.0132118451025,0.00956719817768,0.0173120728929,0.0,0.0123006833713,0.656824123958,0.535040143732,piper89 4-7-89,50,5,2.76,3,1.99143065795,1
64,journal.02.06.10_test,1,1.56272506714,"princess, matchabelli, meher, master, usa, baba, princ, spiritu, norina, miracl",0.0433566433566,0.00699300699301,1.0,0.0,0.555555555556,20.0,0.740740740741,0.0013986013986,0.0013986013986,0.0,0.0111888111888,0.0223776223776,0.020979020979,0.0041958041958,0.751145722791,0.713404162438,journal.02.06.10,63,3,3.97333333333,3,4.03572507277,4
65,piper97 10-19-97_test,1,2.9267539978,"coven, shepherd, god, vers, etern, grace, christ, pleas, want, glori",0.0310734463277,0.0193032015066,1.0,0.0,0.406504065041,81.0,0.658536585366,0.0235404896422,0.0287193973635,0.0112994350282,0.00141242937853,0.0338983050847,0.0,0.00706214689266,0.636023686124,0.623267788082,piper97 10-19-97,57,3,4.07,3,3.81851789866,3
66,piper89 6-4-89_test,1,3.02677512169,"jesus, woman, sabbath, abraham, women, synagogu, want, say, husband, look",0.0288544358312,0.0159345391904,1.0,0.0,0.417218543046,106.0,0.701986754967,0.0142118863049,0.0193798449612,0.0021533161068,0.010766580534,0.0292850990525,0.0111972437554,0.0116279069767,0.678767701012,0.566452437182,piper89 6-4-89,51,3,4.33333333333,5,4.36932381978,5
69,409.html_test,1,1.43732094765,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.757681402731,0.576023711084,409.html,34,4,3.31666666667,3,2.8683629305,2
70,651.html_test,1,1.51114988327,"sudden, ask, job, met, simm, knew, policeman, polic, household, obituari",0.0180921052632,0.0180921052632,0.0,1.0,0.411764705882,27.0,0.794117647059,0.00986842105263,0.0,0.00328947368421,0.00986842105263,0.0740131578947,0.0180921052632,0.00657894736842,0.812125675871,0.599278229852,651.html,39,4,4.02333333333,5,4.08903138947,5
71,MalcolmX-LastAnswersAndInterviews_test,1,12.3211050034,"malcolm, get, answer, think, racism, say, feel, negro, racist, interview",0.0136371482824,0.022009321595,0.0,1.0,0.309033280507,486.0,0.770206022187,0.00871741757293,0.0184705679268,0.0243397203521,0.0182979457967,0.01648541343,0.00060417745555,0.0156223027792,0.667548255099,0.545841172708,MalcolmX-LastAnswersAndInterviews,92,2,2.21666666667,2,2.08908721454,2
72,"2014-12-07 Is Hope Simply Wishful Thinking, Rev. Mark Belletini_test",1,5.50212001801,"hope, danc, sermon, jump, bad, morn, get, ask, hear, joy",0.0292850990525,0.0191645133506,1.0,0.0,0.291512915129,201.0,0.741697416974,0.0191645133506,0.0144272179156,0.0325150732127,0.015503875969,0.00172265288544,0.00172265288544,0.0152885443583,0.644041572996,0.617199416127,"2014-12-07 Is Hope Simply Wishful Thinking, Rev. Mark Belletini",110,5,3.88,5,4.26190336223,5
79,MalcolmX-MessagetotheGrassRoots_test,1,6.62709307671,"negro, got, get, let, talk, tom, master, know, say, malcolm",0.0166527893422,0.0214820982515,0.0,1.0,0.304136253041,314.0,0.76399026764,0.0121565362198,0.034304746045,0.0108243130724,0.0274771024147,0.0158201498751,0.00116569525396,0.0184845961699,0.71092663692,0.54987988973,MalcolmX-MessagetotheGrassRoots,82,2,2.41666666667,2,2.217892224,2
84,MalcolmX-ADeclarationofIndependence_test,1,2.52832484245,"malcolm, negro, mosqu, solut, muhammad, inc, muslim, statement, too, ourselv",0.00901984365604,0.0204449789537,0.0,1.0,0.341463414634,67.0,0.817073170732,0.0306674684305,0.0,0.0204449789537,0.0108238123873,0.0204449789537,0.0,0.00781719783524,0.709148693168,0.625664061524,MalcolmX-ADeclarationofIndependence,87,2,2.79,3,2.70294107704,1
85,551.html_test,1,1.72289013863,"bill, gauchat, peter, merci, maurin, talk, worker, vietnam, fruit, ladi",0.0338294993234,0.021650879567,1.0,0.0,0.514285714286,30.0,0.857142857143,0.0189445196211,0.0,0.00811907983762,0.0148849797023,0.021650879567,0.00270635994587,0.00811907983762,0.812592802134,0.824332313968,551.html,36,3,3.30666666667,3,2.80282234153,4
86,200.html_test,1,0.779523134232,"convers, address, noth, communist, talk, strang, sure, profess, opium, whi",0.0181818181818,0.0181818181818,0.0,1.0,0.478260869565,18.0,0.782608695652,0.0025974025974,0.0103896103896,0.0,0.0025974025974,0.0,0.0467532467532,0.0285714285714,-0.290847251533,0.598822570499,200.html,28,3,3.91333333333,3,3.82524113822,3
88,MalcolmX-ProspectsForFreedomin1965_test,1,4.45900392532,"get, civilright, noth, explos, promis, ake, harlem, oppress, prospect, malcolm",0.0210692652094,0.0221227284698,0.0,1.0,0.191489361702,153.0,0.651063829787,0.0152752172768,0.00948116934422,0.0163286805373,0.0281801422175,0.00421385304188,0.00131682907559,0.0186989728733,0.721223410936,0.588176520005,MalcolmX-ProspectsForFreedomin1965,83,2,2.42,2,1.79403240382,2
89,piper80 071380m_test,1,1.4965069294,"pastor, say, bibl, baptist, criswel, preacher, wisdom, know, anyth, hear",0.0272435897436,0.00801282051282,1.0,0.0,0.636363636364,30.0,0.909090909091,0.00801282051282,0.0192307692308,0.0512820512821,0.00320512820513,0.0192307692308,0.0,0.0128205128205,0.715811634274,0.734986918699,piper80 071380m,43,4,4.20333333333,3,4.80900942042,5
94,SS05_test,1,1.83418297768,"seaworld, hsus, orca, manbi, pacell, keiko, condemn, profit, will, dolphin",0.0275229357798,0.0336391437309,0.0,1.0,0.456140350877,34.0,0.59649122807,0.00407747196738,0.0,0.00407747196738,0.0346585117227,0.0112130479103,0.0,0.00917431192661,0.674255477122,0.531921212903,SS05,116,2,2.68666666667,3,2.02881295352,3
96,ACLU07_test,1,2.30358886719,"camp, polic, dakota, protector, morton, surveil, pipelin, sheriff, roadblock, vehicl",0.0102702702703,0.0151351351351,0.0,1.0,0.391304347826,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.0113513513514,0.00108108108108,0.0,0.00594594594595,0.582771642413,0.723923388205,ACLU07,145,3,2.76,3,2.74975422375,3
