,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
6,YV08_test,1,3.19969105721,"yogavill, dedic, should, don't, joy, everyth, tree, whatev, feel, love",0.0296137339056,0.0068669527897,1.0,0.0,0.353773584906,158.0,0.745283018868,0.0210300429185,0.0450643776824,0.01330472103,0.0175965665236,0.00128755364807,0.00128755364807,0.0210300429185,0.709429657873,0.565988363143,YV08,133,6,4.15666666667,2,4.70393081778,5
8,225.html_test,1,3.80879402161,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.694133442076,0.700691663263,225.html,30,3,3.11333333333,3,2.89463657788,3
12,piper85 pn850005_test,1,5.14248299599,"sing, jehoshaphat, judah, vers, lord, god, satan, worship, thi, prais",0.0246626337832,0.0228013029316,1.0,0.0,0.472573839662,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.682984772603,0.719528746324,piper85 pn850005,47,3,2.49333333333,2,2.12713286252,2
17,YV11_test,1,1.59261608124,"whi, lotus, love, don't, yogavill, want, should, tri, roof, religion",0.0368794326241,0.0156028368794,1.0,0.0,0.485294117647,44.0,0.647058823529,0.0326241134752,0.0198581560284,0.0212765957447,0.00992907801418,0.00141843971631,0.0,0.0156028368794,0.717003450653,0.607443977816,YV11,136,8,3.45,3,4.1393758861,3
26,MalcolmX-AnAppealtoAfricanHeadsofState_test,1,6.59865117073,"malcolm, negro, uniti, cairo, get, african, confer, here, civilright, afroamerican",0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.719384830396,0.664602832219,MalcolmX-AnAppealtoAfricanHeadsofState,89,2,2.87,3,2.22818167167,2
28,journal.1.10.10_test,1,1.54078006744,"master, inner, baba, discipl, miracl, wonder, incid, miracul, moment, mandali",0.0459418070444,0.0183767228178,1.0,0.0,0.5,12.0,0.545454545455,0.00153139356815,0.0,0.00153139356815,0.00612557427259,0.0199081163859,0.00153139356815,0.00918836140888,0.753576965923,0.529939189283,journal.1.10.10,64,4,3.55333333333,3,3.4365838715,3
32,piper90 01-28-90_test,1,3.08229708672,"gospel, preach, fulfil, jesus, god, matthew, ministri, glori, isaiah, repent",0.0205106739221,0.0108832147342,1.0,0.0,0.483050847458,83.0,0.703389830508,0.0121389702805,0.00251151109251,0.00460443700293,0.00460443700293,0.0334868145668,0.0,0.00795311845961,0.787016898554,0.834559504194,piper90 01-28-90,52,4,3.66666666667,3,3.46116065183,3
33,214.html_test,1,2.09923505783,"worker, margaret, priest, morn, cathol, stanthoni, prayer, spoke, miracl, contempl",0.0296540362438,0.0107084019769,1.0,0.0,0.338983050847,44.0,0.745762711864,0.0131795716639,0.00247116968699,0.00988467874794,0.00494233937397,0.0304777594728,0.00658978583196,0.0107084019769,0.740267280174,0.574778575084,214.html,29,5,4.25666666667,5,4.4593932065,3
34,"2006-04-09 Jesus, Rev. Mark Belletini.PDF_test",1,5.04271602631,"jesus, say, opinion, johnson, justic, ohio, pastor, seem, gospel, stake",0.02332433096,0.0203780996808,1.0,0.0,0.253787878788,152.0,0.575757575758,0.0127670022097,0.00515590473852,0.00883869383747,0.00613798183157,0.0235698502332,0.000982077093052,0.00736557819789,0.674168151832,0.584605724449,"2006-04-09 Jesus, Rev. Mark Belletini.PDF",106,6,3.52,3,3.24598065937,3
40,piper99 12-12-99_test,1,3.28405785561,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.0267489711934,0.022633744856,1.0,0.0,0.496551724138,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.643839295592,0.646481448274,piper99 12-12-99,59,4,3.37333333333,3,3.96399938489,5
48,ACLU05_test,1,1.78205299377,"mohamedou, prison, guantánamo, tortur, unlaw, mauritania, memoir, privaci, thrill, slahi",0.0309523809524,0.0297619047619,1.0,0.0,0.547619047619,34.0,0.809523809524,0.0261904761905,0.0,0.00595238095238,0.00119047619048,0.047619047619,0.00119047619048,0.00595238095238,0.689016371005,0.554392760686,ACLU05,143,3,3.15333333333,3,3.92705265757,3
52,journal.1.12.11_test,1,2.23671293259,"infinit, realiz, reaction, real, shall, finit, react, resign, meher, baba",0.0352020860495,0.00586701434159,1.0,0.0,0.505050505051,66.0,0.666666666667,0.0365058670143,0.0026075619296,0.029335071708,0.0,0.0280312907432,0.0,0.0176010430248,0.781930419532,0.853541756081,journal.1.12.11,66,5,4.30333333333,5,4.26337610836,5
56,piper89 4-7-89_test,1,2.91518998146,"womb, job, unborn, abort, god, innoc, shall, psalm, yuml, blood",0.0223234624146,0.0464692482916,0.0,1.0,0.353846153846,68.0,0.523076923077,0.00911161731207,0.00455580865604,0.0132118451025,0.00956719817768,0.0173120728929,0.0,0.0123006833713,0.65955395793,0.535040143732,piper89 4-7-89,50,5,2.62333333333,3,1.48501702616,1
58,MalcolmX-AtTheAudubon_test,1,8.35823512077,"get, congo, malcolm, let, dick, talk, mercenari, know, look, say",0.0200935865676,0.0228461326727,0.0,1.0,0.32,306.0,0.765,0.0177539223782,0.027250206441,0.0199559592623,0.0202312138728,0.0196807046518,0.00110101844206,0.01334984861,0.636285897709,0.600845079001,MalcolmX-AtTheAudubon,90,2,2.21333333333,2,1.77974766329,2
59,piper92 09-27-92_test,1,3.36264705658,"christ, gentil, reconcil, jew, god, israel, coven, glori, promis, jesus",0.0179290157336,0.0135382363703,1.0,0.0,0.467625899281,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.687037336963,0.843150970135,piper92 09-27-92,53,1,2.77666666667,3,2.20886447036,3
63,piper85 pn850026_test,1,1.64112687111,"grace, god, welltim, christ, priest, let, know, lord, templ, tomorrow",0.0267094017094,0.0160256410256,1.0,0.0,0.204081632653,12.0,0.244897959184,0.0213675213675,0.025641025641,0.0106837606838,0.00213675213675,0.0192307692308,0.0,0.00320512820513,0.748214611112,0.639940519154,piper85 pn850026,48,3,3.43,3,3.42099684639,3
67,journal.02.04.09_test,1,1.99587202072,"meher, realiz, baba, saint, spiritu, sincer, know, man, question, inquir",0.0313043478261,0.0130434782609,1.0,0.0,0.490196078431,37.0,0.725490196078,0.0,0.00173913043478,0.00782608695652,0.0095652173913,0.0365217391304,0.0,0.00869565217391,0.686198597619,0.571087679161,journal.02.04.09,62,6,3.78,3,4.02009535113,3
69,piper99 1-31-99_test,1,3.68138003349,"doer, justifi, judgment, christ, vers, gospel, god, say, hypothet, sin",0.0322055953155,0.0198438516591,1.0,0.0,0.415584415584,96.0,0.623376623377,0.014313597918,0.00553025374105,0.0100845803513,0.0113858165257,0.0123617436565,0.000325309043591,0.0107351984385,0.752101349841,0.649720303758,piper99 1-31-99,58,4,3.24666666667,3,2.98840567154,3
71,mapping-out-the-new-year-steve-shepherd-sermon-on-new-years-day-142575.asp_test,1,3.86102700233,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.0301783264746,0.0181755829904,1.0,0.0,0.240875912409,181.0,0.660583941606,0.0356652949246,0.0130315500686,0.0168038408779,0.00548696844993,0.031207133059,0.0161179698217,0.00891632373114,0.669224635613,0.596822233112,mapping-out-the-new-year-steve-shepherd-sermon-on-new-years-day-142575.asp,97,5,3.86666666667,5,3.64248182094,3
77,journal.1.11.07_test,1,1.58784890175,"love, infinit, unexpress, condens, finit, genuin, manifest, revel, express, stake",0.0709117221418,0.0144717800289,1.0,0.0,0.485714285714,20.0,0.571428571429,0.00289435600579,0.0,0.0,0.00289435600579,0.0159189580318,0.0,0.0303907380608,0.779891285717,0.647381045738,journal.1.11.07,65,7,3.92666666667,3,4.46985681703,3
