,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,7.96140503883,"we, worker, priest, our, you, too, labor, factori, know, bread",0.0256144652179,0.0256144652179,0.0,1.0,17.9,0.182326491834,0.770301104005,0.78168061218,DorothyDay,4,4.0,5.32189505137
2,DorothyDay_test1,10,8.92425394058,"we, our, worker, get, talk, love, me, dont, tri, peter",0.0274319203686,0.0274319203686,0.0,1.0,14.6,0.122432848435,0.690438481215,0.698783451396,DorothyDay,4,3.4,3.4129473837
8,WBC_test0,10,10.3420391083,", shall, unto, s, ye, you, your, god, sin, we",0.0262635803986,0.0262635803986,0.0,1.0,21.5,0.150152109759,0.730306594277,0.759655485622,WBC,1,1.8,2.6593850901
10,WBC_test1,10,10.0851891041,", shall, unto, s, we, god, lord, you, my, say",0.0260685265801,0.0260685265801,0.0,1.0,21.8,0.150760979255,0.713656016412,0.686469484337,WBC,1,2.1,2.82951261986
13,Bahai_test1,10,2.92954015732,"we, spirit, realiti, uniti, faith, perfect, spiritu, our, my",0.0215638382975,0.0215638382975,0.0,1.0,7.1,0.21516945308,0.738715843785,0.794817994228,Bahai,6,6.0,5.60087589467
15,Bahai_test0,10,2.5781788826,"you, your, sick, love, prophet, talk, color, marriag, skin",0.0216350600023,0.0216350600023,0.0,1.0,6.8,0.23611775358,0.767981300073,0.77003759651,Bahai,6,6.0,6.12002784967
17,IntegralYoga_test1,10,5.21250104904,"you, your, mind, yoga, we, om, whi, want, say",0.0233500757311,0.0233500757311,0.0,1.0,9.7,0.0845434567615,0.690073818536,0.690736336036,IntegralYoga,7,6.3,6.24052175103
19,IntegralYoga_test0,10,5.39766001701,"you, your, we, mind, medit, yoga, happi, want, breath",0.0240608648299,0.0240608648299,0.0,1.0,9.1,0.0890763602344,0.68162058527,0.652533556598,IntegralYoga,7,5.8,6.43469955483
22,Rabbinic_test0,10,7.58215403557,"we, our, you, your, synagogu, jewish, jew, my, rabbi",0.0284227924885,0.0284227924885,0.0,1.0,21.1,0.268213870291,0.759278829404,0.710426030849,Rabbinic,6,4.8,5.6295880955
25,SeaShepherds_test0,10,2.70849704742,"whale, shepherd, seaworld, we, costa, illeg, danish, orca, greenpeac",0.023390441028,0.023390441028,0.0,1.0,5.5,0.160961371998,0.729505593919,0.596923877477,SeaShepherds,2,4.8,6.70565098562
