,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
2,piper81 041781_test,1,3.08494782448,"thief, jesus, save, penit, paradis, wrong, fear, god, say, thiev",0.0258342303552,0.037674919268,0.0,1.0,0.487179487179,85.0,0.726495726496,0.018837459634,0.0139935414424,0.0139935414424,0.00861141011841,0.034983853606,0.0,0.00914962325081,0.67674372256,0.713595475237,piper81 041781,45,3,3.58666666667,3,3.12849464416,3
5,225.html_test,1,4.18938183784,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.6907144329,0.700691663263,225.html,30,3,3.32666666667,3,2.55223222823,3
9,piper85 pn850005_test,1,5.21110582352,"sing, jehoshaphat, judah, vers, lord, god, satan, worship, thi, prais",0.0246626337832,0.0228013029316,1.0,0.0,0.472573839662,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.68296075036,0.719528746324,piper85 pn850005,47,3,2.88666666667,2,1.99891439604,3
10,piper99 4-4-99_test,1,3.16239190102,"condemn, christ, sinner, guilti, righteous, jesus, answer, god, judg, vers",0.0368709516692,0.0333831589437,1.0,0.0,0.402777777778,83.0,0.576388888889,0.0264075734928,0.0114598903837,0.0224215246637,0.000996512207275,0.02192326856,0.0,0.0119581464873,0.607393209829,0.528360248967,piper99 4-4-99,60,3,4.16,3,4.05274223095,3
22,MalcolmX-AnAppealtoAfricanHeadsofState_test,1,6.74375009537,"malcolm, negro, uniti, cairo, get, african, confer, here, civilright, afroamerican",0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.724014487758,0.664602832219,MalcolmX-AnAppealtoAfricanHeadsofState,89,2,3.20333333333,5,2.57876384284,2
23,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp_test,1,3.38062810898,"gospel, hell, say, jesus, preach, christ, knife, don, pleas, tri",0.0268980477223,0.0325379609544,0.0,1.0,0.282296650718,124.0,0.593301435407,0.00824295010846,0.0125813449024,0.0208242950108,0.00997830802603,0.0225596529284,0.00260303687636,0.0156182212581,0.655430014761,0.586214587548,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp,93,1,4.27333333333,5,3.82731378142,5
24,SS02_test,1,1.39539909363,"turtl, shepherd, save, gift, donat, pollut, jairo, campaign, amaz, threat",0.0376811594203,0.0231884057971,1.0,0.0,0.882352941176,15.0,0.882352941176,0.0463768115942,0.0231884057971,0.0,0.00579710144928,0.0,0.0,0.0,0.672185583018,0.437062563421,SS02,113,1,3.54333333333,3,2.78602832688,2
26,journal.1.10.10_test,1,1.62733006477,"master, inner, baba, discipl, miracl, wonder, incid, miracul, moment, mandali",0.0459418070444,0.0183767228178,1.0,0.0,0.5,12.0,0.545454545455,0.00153139356815,0.0,0.00153139356815,0.00612557427259,0.0199081163859,0.00153139356815,0.00918836140888,0.753076296067,0.529939189283,journal.1.10.10,64,4,4.01333333333,3,4.91554834935,3
28,296.html_test,1,1.43592000008,"liturg, pray, prayer, christ, liturgi, mystic, laiti, injustic, campion, complin",0.00686498855835,0.0183066361556,0.0,1.0,0.51724137931,20.0,0.689655172414,0.0800915331808,0.00228832951945,0.00228832951945,0.00228832951945,0.0045766590389,0.00228832951945,0.0137299771167,0.771826884574,0.587619690619,296.html,32,5,2.75666666667,2,2.8489292127,2
30,YV06_test,1,2.73952412605,"sri, gurudev, swami, satchidananda, spirit, spiritu, messag, uniti, sadhu, doesn't",0.027289266222,0.00727713765919,1.0,0.0,0.352941176471,78.0,0.764705882353,0.0109157064888,0.0133414190418,0.0,0.00667070952092,0.0333535476046,0.00485142510612,0.0127349909036,0.663229166382,0.689833712226,YV06,131,5,4.14,3,4.470219733,3
31,MalcolmX-ConfrontationWithAnExpert_test,1,6.82189011574,"malcolm, bernard, hall, alcolm, let, negro, think, say, get, expert",0.0184566707681,0.0123044471788,1.0,0.0,0.495356037152,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.630241713858,0.656116850638,MalcolmX-ConfrontationWithAnExpert,91,2,3.39666666667,2,4.08658294149,5
42,piper99 12-12-99_test,1,3.45509886742,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.0267489711934,0.022633744856,1.0,0.0,0.496551724138,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.643605402733,0.646481448274,piper99 12-12-99,59,4,3.46,3,3.31678032404,3
49,SS08_test,1,1.53080105782,"greenpeac, seal, fur, whale, endors, sealer, brutal, risk, betray, revel",0.0232108317215,0.0522243713733,0.0,1.0,0.592592592593,17.0,0.62962962963,0.0116054158607,0.00193423597679,0.0251450676983,0.0232108317215,0.0,0.0,0.00193423597679,0.713822584954,0.592919761689,SS08,119,1,2.66666666667,2,2.3360146567,2
51,journal.1.12.11_test,1,2.30988907814,"infinit, realiz, reaction, real, shall, finit, react, resign, meher, baba",0.0352020860495,0.00586701434159,1.0,0.0,0.505050505051,66.0,0.666666666667,0.0365058670143,0.0026075619296,0.029335071708,0.0,0.0280312907432,0.0,0.0176010430248,0.783256723824,0.853541756081,journal.1.12.11,66,5,5.00666666667,2,4.7832839134,3
56,SS13_test,1,2.89159011841,"whale, seal, “human, “sustain, harvest, slaughter, club, eat, “conserv, fish",0.0180754917597,0.0425305688464,0.0,1.0,0.311926605505,65.0,0.596330275229,0.0154173312068,0.00478468899522,0.00744284954811,0.0127591706539,0.000531632110579,0.000531632110579,0.016480595428,0.690558672489,0.507854515709,SS13,124,1,2.45333333333,3,3.38323936721,5
58,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp_test,1,4.28335213661,"don, ill, bless, government, said, ask, attitud, want, mph, whi",0.0417189460477,0.0185069008783,1.0,0.0,0.126237623762,187.0,0.462871287129,0.0207026348808,0.017252195734,0.0228983688833,0.00752823086575,0.0100376411543,0.00752823086575,0.0131744040151,0.684908534161,0.508677204049,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,96,3,5.00666666667,4,4.74171376405,4
59,MalcolmX-AtTheAudubon_test,1,8.64900183678,"get, congo, malcolm, let, dick, talk, mercenari, know, look, say",0.0200935865676,0.0228461326727,0.0,1.0,0.32,306.0,0.765,0.0177539223782,0.027250206441,0.0199559592623,0.0202312138728,0.0196807046518,0.00110101844206,0.01334984861,0.63579250017,0.600845079001,MalcolmX-AtTheAudubon,90,2,2.57333333333,2,2.29020838104,2
65,MalcolmX-LastAnswersAndInterviews_test,1,13.555478096,"malcolm, get, answer, think, racism, say, feel, negro, racist, interview",0.0136371482824,0.022009321595,0.0,1.0,0.309033280507,486.0,0.770206022187,0.00871741757293,0.0184705679268,0.0243397203521,0.0182979457967,0.01648541343,0.00060417745555,0.0156223027792,0.669122840039,0.545841172708,MalcolmX-LastAnswersAndInterviews,92,2,2.52,2,2.29468111665,2
69,mapping-out-the-new-year-steve-shepherd-sermon-on-new-years-day-142575.asp_test,1,4.16738796234,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.0301783264746,0.0181755829904,1.0,0.0,0.240875912409,181.0,0.660583941606,0.0356652949246,0.0130315500686,0.0168038408779,0.00548696844993,0.031207133059,0.0161179698217,0.00891632373114,0.668291750272,0.596822233112,mapping-out-the-new-year-steve-shepherd-sermon-on-new-years-day-142575.asp,97,5,4.18666666667,5,3.1587324802,4
