,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.5183279514,"s, don, get, sin, love, ill, know, christ, t, want",0.032831889329,0.0242249279482,0.8,0.2,171.8,0.582729152133,0.631582427987,0.576705672249,Shepherd,4,4.04909090909,4.38788310839
4,Shepherd_test9,10,14.1604850292,"s, don, thank, get, want, christ, t, thing, prais, god",0.034164266285,0.0186495063891,0.8,0.2,167.5,0.612909584203,0.641828349024,0.62577514797,Shepherd,4,4.0927972028,3.87586411953
6,Shepherd_test21,10,13.6607339382,"s, get, love, want, joy, ask, pray, god, christ, ill",0.034439437592,0.0223995658799,0.8,0.2,162.3,0.636757016019,0.610602777296,0.575358879222,Shepherd,4,4.66062937063,4.01875569665
7,Shepherd_test0,10,13.1999890804,"s, get, pray, don, love, ask, christ, sin, said, ill",0.0327275286609,0.0236103425064,0.7,0.3,172.1,0.602481136519,0.638397604755,0.577823144832,Shepherd,4,4.04909090909,4.44372263178
10,Shepherd_test10,10,13.3125360012,"s, don, get, t, ill, bless, wisdom, ask, said, want",0.0345942152025,0.0211938861337,1.0,0.0,156.7,0.562545246127,0.613141809416,0.625326149022,Shepherd,4,4.05818181818,3.98241407959
17,Shepherd_test20,10,15.0522909164,"s, want, don, get, god, christ, know, t, ask, sin",0.0321259331867,0.0249628804256,0.7,0.3,172.2,0.604198546625,0.651534304652,0.593410399542,Shepherd,4,4.65818181818,4.55567957335
18,Shepherd_test6,10,13.0264658928,"s, ill, prais, get, don, sin, christ, thank, t, jesus",0.0297968921081,0.0294475178728,0.4,0.6,142.3,0.590340407932,0.650371075248,0.541293105816,Shepherd,4,3.1,2.74350491546
22,Shepherd_test16,10,14.9673249722,"s, christ, trust, get, don, said, sin, ill, say, t",0.0334416027245,0.0201861831871,0.9,0.1,178.2,0.573591944615,0.623592936403,0.594408415165,Shepherd,4,4.05818181818,4.08534284333
24,Shepherd_test19,10,13.5429952145,"s, don, ask, want, god, sin, get, t, ill, thing",0.0371676020408,0.019485671402,1.0,0.0,163.4,0.597629135427,0.602865501919,0.655835951983,Shepherd,4,4.05818181818,3.97952804686
31,Shepherd_test14,10,15.3376441002,"s, preach, don, jesus, get, ask, t, christ, said, want",0.0271766937991,0.0247118893195,0.8,0.2,187.1,0.591187176571,0.603350452871,0.680033738363,Shepherd,4,3.74909090909,4.41382012791
32,Shepherd_test4,10,12.9999768734,"get, s, pray, prayer, god, christ, worship, want, ask, said",0.0302649614416,0.0205304614586,0.8,0.2,142.9,0.630058038796,0.610223833062,0.693257834787,Shepherd,4,4.0927972028,3.97776063278
33,Shepherd_test8,10,14.7660489082,"s, get, christ, don, ask, god, said, thing, jesus, lord",0.0306613549489,0.0241521847222,0.6,0.4,160.1,0.650946451877,0.608423652256,0.624890681854,Shepherd,4,4.68125874126,3.98893664936
35,Shepherd_test3,10,15.1961698532,"grace, s, get, sin, don, god, want, t, said, know",0.031325992898,0.0268601268597,0.5,0.5,171.9,0.629085689449,0.60555215804,0.652201003638,Shepherd,4,3.7,4.11406953136
